,Title,Company Name,Company Location
0,Associate Dentist,J&J DENTAL SUPPORT SERVICES LLC,"Chicago, IL 60605"
1,Dentist,Westphalia Holdings,"Lincoln Park, IL"
2,Dentist,Wicker Park Dental Group,"Chicago, IL 60622 (East Village area)"
3,Dentist,Lawndale Christian Health Center,"Chicago, IL 60623 (Archer Heights area)"
4,Dentist,Lincoln Park Smiles,"Chicago, IL"
5,General Dentist,Family Dental of Lincoln,"Chicago, IL 60625 (Budlong Woods area)"
6,General Dentist,Windy City Implants and Dental,"Berwyn, IL 60402"
7,Dentist,Big Smile Dental,"Chicago, IL 60618 (Logan Square area)"
8,General Dentist,ProCare Dental Group,"Chicago, IL"
9,Dentist,Dental 360 & Associates,"Chicago, IL 60647 (Humboldt Park area)"
10,Cosmetic Dentist,Belvara Collection,"Lincoln Park, IL 60614 (Lincoln Park area)"
11,Cosmetic Dentist,Belvara Collection,"Lincoln Park, IL 60614 (Lincoln Park area)"
12,General Dentist,Titan Dental PC,"Chicago, IL"
13,Associate General Dentist,FLOS Dental,"Chicago, IL"
14,DENTIST IV - ORAL HEALTH - CERMAK,Cook County Health & Hospitals System,"Chicago, IL"
15,General Dentist,United Dental Partners,"Chicago, IL 60632 (Brighton Park area)"
